Province,harvested_2022,harvested_2021,harvested_change_22_over_21,harvested_average,harvested_change_22_over5y,yield_2022,yield_2021,yield_change_22_over_21,yield_average,yield_change_22_over5y,production_2022,production_2021,production_change_22_over_21,production_average,production_change22_over5y
North,165,174,-5,177,-7,3,3,-7,3.5,514,583,-12,622,-17
Phongsaly,16,17,-5,16,-2,3,3,-14,3,43,53,-18,55,-22
Luang Namtha,20,18,8,16,19,3,3,7,3,60,52,16,53,13
Oudomxay,20,25,-20,27,-25,3,3,-10,3,63,87,-28,82,-23
Bokeo,14,16,-14,18,-22,4,4,-9,4,50,63,-22,71,-30
Luang Prabang,38,34,10,34,10,3,3,-6,3,104,100,4,100,4
Houaphanh,14,17,-14,21,-33,3,4,-10,4,50,65,-23,83,-40
Sainyabuli,43,47,-7,44,-2,3,3,-4,4,144,163,-12,176,-18
Centre,467,471,-1,425,10,4,4,-1,4,1836,1871,-2,1738,6
Vientiane prefecture,59,61,-2,57,4,4,4,-9,4,210,235,-10,240,-13
Xiangkhouang,17,19,-14,19,-14,4,5,-22,4,66,97,-33,85,-23
Vientiane,58,54,7,55,5,4,4,-9,4,229,236,-3,239,-5
Bolikhamxai,40,40,-1,38,4,4,4,-7,4,152,165,-8,147,3
Khammouane,85,86,-2,74,14,4,4,6,4,338,322,5,275,23
Savannakhet,208,207,1,179,16,4,4,4,4,814,780,4,734,11
Xaisomboun,94,88,6,95,-1,0,0,-25,0,28,36,-21,34,-17
South,191,205,-7,208,-8,4,4,-2,4,748,814,-8,825,-9
Salavan,56,55,2,66,-16,4,4,-7,4,219,232,-5,285,-23
Sekong,8,8,-2,8,-2,4,4,8,5,36,34,6,37,-3
Champasak,106,118,-10,107,-1,4,4,0,4,415,464,-11,431,-4
Attapeu,22,26,-14,21,3,4,3,2,3,78,88,-12,71,9
Total,823,850,-3,811,2,3.76,3.85,-2,4,3098,3268,-5,3185,-3
